Method,Number of tests,Average hit rate,Average number of rules,min_pts,eps
dbscan,40,30.46%,2965.4,1,4
dbscan,40,30.27%,2321.2,1,3
dbscan,40,28.67%,1511.6,1,2
dbscan,40,25.96%,700.8,1,1
dbscan,40,30.75%,4145.8,2,4
dbscan,40,30.76%,4110.4,2,3
dbscan,40,30.69%,3968.8,2,2
dbscan,40,30.27%,3943.8,2,1
dbscan,40,30.84%,4198.4,3,4
dbscan,40,31.44%,4173.8,3,3
dbscan,40,31.44%,4112,3,2
dbscan,40,30.25%,4145.2,3,1
