Method,Rules,Dictionary,Target,Recovered Rate (%),Number of Rules,Rule generation time,Rule generating rate,Parameters
dbscan,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,24.53%,99,4.574622869491577,0.046208311813046236,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,27.00%,99,3.984286069869995,0.04024531383707066,distance_threshold: 4
ap,hotmail.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,26.39%,99,205.69657707214355,2.0777432027489247,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,19.43%,99,4.574622869491577,0.046208311813046236,min points: 3,eps: 2
hac,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,20.51%,99,3.984286069869995,0.04024531383707066,distance_threshold: 4
ap,hotmail.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,20.50%,99,205.69657707214355,2.0777432027489247,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,18.67%,99,4.574622869491577,0.046208311813046236,min points: 3,eps: 2
hac,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,20.59%,99,3.984286069869995,0.04024531383707066,distance_threshold: 4
ap,hotmail.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,20.17%,99,205.69657707214355,2.0777432027489247,--convergence_iter: 15,--damping: 0.9
dbscan,hotmail.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,21.67%,99,4.574622869491577,0.046208311813046236,min points: 3,eps: 2
hac,hotmail.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,22.27%,99,3.984286069869995,0.04024531383707066,distance_threshold: 4
ap,hotmail.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,22.09%,99,205.69657707214355,2.0777432027489247,--convergence_iter: 15,--damping: 0.9
