Method,Rules,Dictionary,Target,Recovered Rate (%),Number of Rules,Rule generation time,Rule generating rate,Parameters,
hac,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,26.18%,54,0.6319303512573242,0.011702414,distance_threshold: 4,
ap,darkweb2017-top1000_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,28.77%,99,2.6901166439056396,0.027172895,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,26.25%,99,0.6681897640228271,0.006749392,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,22.08%,54,0.6319303512573242,0.011702414,distance_threshold: 4,
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,25.95%,99,2.6901166439056396,0.027172895,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,22.62%,99,0.6681897640228271,0.006749392,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,19.94%,54,0.6319303512573242,0.011702414,distance_threshold: 4,
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,24.03%,99,2.6901166439056396,0.027172895,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,11.62%,99,0.6681897640228271,0.006749392,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,9.18%,54,0.6319303512573242,0.011702414,distance_threshold: 4,
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,10.57%,99,2.6901166439056396,0.027172895,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,20.78%,99,0.6681897640228271,0.006749392,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,20.78%,54,0.6319303512573242,0.011702414,distance_threshold: 4,
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,22.68%,99,2.6901166439056396,0.027172895,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,34.26%,99,1.3284361362457275,0.013418546830764924,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,23.96%,99,1.3758277893066406,0.013897250397036773,distance_threshold: 4,
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,25.39%,99,65.37718939781189,0.6603756504829483,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,27.17%,99,1.3284361362457275,0.013418546830764924,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,22.14%,99,1.3758277893066406,0.013897250397036773,distance_threshold: 4,
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,23.36%,99,65.37718939781189,0.6603756504829483,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,14.56%,99,1.3284361362457275,0.013418546830764924,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,5.64%,99,1.3758277893066406,0.013897250397036773,distance_threshold: 4,
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,6.36%,99,65.37718939781189,0.6603756504829483,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,28.84%,99,1.3284361362457275,0.013418546830764924,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,31.66%,99,1.3758277893066406,0.013897250397036773,distance_threshold: 4,
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,30.82%,99,65.37718939781189,0.6603756504829483,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,27.04%,99,1.3284361362457275,0.013418546830764924,min points: 3,eps: 2
