Method,Rules,Dictionary,Target,Recovered Rate (%),Number of Rules,Rule generation time,Rule generating rate,Parameters
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,18.13%,99,2.751676082611084,0.027794707905162464,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,15.82%,99,0.6377272605895996,0.006441689500905046,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,14.10%,99,0.6945087909698486,0.007015240312826754,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,16.56%,99,2.751676082611084,0.027794707905162464,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,4.83%,99,0.6377272605895996,0.006441689500905046,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,4.79%,99,0.6945087909698486,0.007015240312826754,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,4.87%,99,2.751676082611084,0.027794707905162464,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,19.33%,99,0.6377272605895996,0.006441689500905046,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,18.11%,99,0.6945087909698486,0.007015240312826754,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,19.86%,99,2.751676082611084,0.027794707905162464,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,24.47%,99,1.3200066089630127,0.013333400090535482,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,23.96%,99,1.2384052276611328,0.012509143713748816,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,24.25%,99,66.20688652992249,0.6687564295951767,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,19.45%,99,1.3200066089630127,0.013333400090535482,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,18.63%,99,1.2384052276611328,0.012509143713748816,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,18.92%,99,66.20688652992249,0.6687564295951767,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,5.79%,99,1.3200066089630127,0.013333400090535482,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,5.65%,99,1.2384052276611328,0.012509143713748816,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,5.74%,99,66.20688652992249,0.6687564295951767,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,30.37%,99,1.3200066089630127,0.013333400090535482,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,26.64%,99,1.2384052276611328,0.012509143713748816,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,27.02%,99,66.20688652992249,0.6687564295951767,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,18.25%,99,1.3200066089630127,0.013333400090535482,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,17.72%,99,1.2384052276611328,0.012509143713748816,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,17.87%,99,66.20688652992249,0.6687564295951767,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,16.82%,99,1.3200066089630127,0.013333400090535482,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,15.96%,99,1.2384052276611328,0.012509143713748816,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,16.20%,99,66.20688652992249,0.6687564295951767,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,4.82%,99,1.3200066089630127,0.013333400090535482,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,4.71%,99,1.2384052276611328,0.012509143713748816,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,4.78%,99,66.20688652992249,0.6687564295951767,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,23.74%,99,1.3200066089630127,0.013333400090535482,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,19.94%,99,1.2384052276611328,0.012509143713748816,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,20.70%,99,66.20688652992249,0.6687564295951767,--convergence_iter: 15,--damping: 0.9
