Method,Rules,Dictionary,Target,Recovered Rate (%),Number of Rules,Rule generation time,Rule generating rate,Parameters
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,38.50%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,40.00%,1446,2.8056843280792236,0.0019403072808293386,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,41.35%,1578,0.8849859237670898,0.0005608275816014511,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,41.00%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,41.58%,1446,2.8056843280792236,0.0019403072808293386,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,17.54%,1578,0.8849859237670898,0.0005608275816014511,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,16.73%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,myspace.txt,17.63%,1446,2.8056843280792236,0.0019403072808293386,--convergence_iter: 15,--damping: 0.9
dbscan,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,23.82%,1578,0.8849859237670898,0.0005608275816014511,min points: 3,eps: 2
hac,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,24.35%,1393,0.8871793746948242,0.0006368839732195436,distance_threshold: 4
ap,darkweb2017-top1000_M.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,24.35%,1446,2.8056843280792236,0.0019403072808293386,--convergence_iter: 15,--damping: 0.9
dbscan,tuscl-30000.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,54.73%,31012,45.85432004928589,0.0014785992534917416,min points: 3,eps: 2
hac,tuscl-30000.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,53.30%,26571,59.862175941467285,0.002252913926516401,distance_threshold: 4
ap,tuscl-30000.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,55.19%,28729,2332.5893783569336,0.08119284967652664,--convergence_iter: 15,--damping: 0.9
dbscan,tuscl-30000.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,45.48%,31012,45.85432004928589,0.0014785992534917416,min points: 3,eps: 2
hac,tuscl-30000.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,41.88%,26571,59.862175941467285,0.002252913926516401,distance_threshold: 4
ap,tuscl-30000.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,45.03%,28729,2332.5893783569336,0.08119284967652664,--convergence_iter: 15,--damping: 0.9
dbscan,tuscl-30000.txt,probable-v2-top12000_M.txt,myspace.txt,25.73%,31012,45.85432004928589,0.0014785992534917416,min points: 3,eps: 2
hac,tuscl-30000.txt,probable-v2-top12000_M.txt,myspace.txt,24.55%,26571,59.862175941467285,0.002252913926516401,distance_threshold: 4
ap,tuscl-30000.txt,probable-v2-top12000_M.txt,myspace.txt,25.64%,28729,2332.5893783569336,0.08119284967652664,--convergence_iter: 15,--damping: 0.9
dbscan,tuscl-30000.txt,probable-v2-top12000_M.txt,default-passwords.txt,37.82%,31012,45.85432004928589,0.0014785992534917416,min points: 3,eps: 2
hac,tuscl-30000.txt,probable-v2-top12000_M.txt,default-passwords.txt,33.33%,26571,59.862175941467285,0.002252913926516401,distance_threshold: 4
ap,tuscl-30000.txt,probable-v2-top12000_M.txt,default-passwords.txt,38.66%,28729,2332.5893783569336,0.08119284967652664,--convergence_iter: 15,--damping: 0.9
dbscan,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,48.90%,31012,45.85432004928589,0.0014785992534917416,min points: 3,eps: 2
hac,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,46.71%,26571,59.862175941467285,0.002252913926516401,distance_threshold: 4
ap,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,rockyou-75_M.txt,49.52%,28729,2332.5893783569336,0.08119284967652664,--convergence_iter: 15,--damping: 0.9
dbscan,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,52.23%,31012,45.85432004928589,0.0014785992534917416,min points: 3,eps: 2
hac,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,47.68%,26571,59.862175941467285,0.002252913926516401,distance_threshold: 4
ap,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,xato-net-10-million-passwords-100000_M.txt,51.68%,28729,2332.5893783569336,0.08119284967652664,--convergence_iter: 15,--damping: 0.9
dbscan,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,myspace.txt,22.74%,31012,45.85432004928589,0.0014785992534917416,min points: 3,eps: 2
hac,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,myspace.txt,21.82%,26571,59.862175941467285,0.002252913926516401,distance_threshold: 4
ap,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,myspace.txt,22.91%,28729,2332.5893783569336,0.08119284967652664,--convergence_iter: 15,--damping: 0.9
dbscan,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,32.27%,31012,45.85432004928589,0.0014785992534917416,min points: 3,eps: 2
hac,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,26.33%,26571,59.862175941467285,0.002252913926516401,distance_threshold: 4
ap,tuscl-30000.txt,10-million-password-list-top-10000_M.txt,default-passwords.txt,33.33%,28729,2332.5893783569336,0.08119284967652664,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,47.51%,7191,5.051979064941406,0.00070254193644019,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,47.04%,2464,1.7815451622009277,0.0007230296924516752,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,rockyou-75_M.txt,47.47%,6473,68.1142029762268,0.010522818318589032,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,36.28%,7191,5.051979064941406,0.00070254193644019,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,35.72%,2464,1.7815451622009277,0.0007230296924516752,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,xato-net-10-million-passwords-100000_M.txt,36.67%,6473,68.1142029762268,0.010522818318589032,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,22.17%,7191,5.051979064941406,0.00070254193644019,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,21.82%,2464,1.7815451622009277,0.0007230296924516752,distance_threshold: 4
ap,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,myspace.txt,22.14%,6473,68.1142029762268,0.010522818318589032,--convergence_iter: 15,--damping: 0.9
dbscan,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,32.57%,7191,5.051979064941406,0.00070254193644019,min points: 3,eps: 2
hac,fortinet-2021_passwords-5k_M.txt,probable-v2-top12000_M.txt,default-passwords.txt,31.51%,2464,1.7815451622009277,0.0007230296924516752,distance_threshold: 4
